id,value
id_0,4.702203540303984
id_1,16.631373454577766
id_2,23.74399495711083
id_3,7.493552453480586
id_4,26.96527266932997
id_5,21.157053169919465
id_6,23.271519889667577
id_7,30.163936469521847
id_8,17.088632576750772
id_9,57.89134363868228
id_10,12.990124353567987
id_11,10.734166626600393
id_12,62.07893326345518
id_13,52.2679180855362
id_14,22.338032380374603
id_15,11.326369425319594
id_16,31.8436243007774
id_17,68.53296719165851
id_18,0.7218498784227059
id_19,16.94272711689153
id_20,41.70456825193719
id_21,70.8473532367565
id_22,9.24141799093928
id_23,18.940763177104554
id_24,14.009098307286635
id_25,38.2784450344854
id_26,14.211320773704255
id_27,74.3422424644245
id_28,7.237768960804819
id_29,55.69614756535686
id_30,22.763332452922118
id_31,8.182989879095526
id_32,4.478926563188407
id_33,20.351692031190286
id_34,29.892197860603126
id_35,36.619379107982134
id_36,42.752845585696726
id_37,30.41057976181522
id_38,42.90430349947678
id_39,35.39801520124098
id_40,7.825715595649562
id_41,40.43438366448275
id_42,31.076099101933515
id_43,50.00054911331889
id_44,15.69674586155941
id_45,35.95583885170562
id_46,24.32763018537834
id_47,10.058660343554322
id_48,24.46576286929955
id_49,32.95394125576967
id_50,18.840024202341443
id_51,9.071488578136615
id_52,21.479612083847922
id_53,53.04624468519027
id_54,14.72832835103879
id_55,35.96295230593341
id_56,32.547557804646665
id_57,23.02498404077731
id_58,57.816332353310244
id_59,22.100751067923387
id_60,14.686464031976724
id_61,43.100270017077115
id_62,12.656527314998518
id_63,49.903765629201956
id_64,15.629011179703912
id_65,16.049733234409175
id_66,14.169826518551679
id_67,0.5544814888887888
id_68,42.78661146178351
id_69,31.149170214006567
id_70,21.286015048259504
id_71,39.810077077552414
id_72,59.48833386515952
id_73,5.03047011927567
id_74,17.003989367710336
id_75,5.276533509030028
id_76,38.8207422218931
id_77,14.50577362183832
id_78,23.40388737984097
id_79,21.87722821239618
id_80,24.794315306351287
id_81,36.704348790931
id_82,21.86216070443721
id_83,92.16820692171001
id_84,35.796645306421816
id_85,26.351453958144788
id_86,21.79900791261494
id_87,32.160931048029546
id_88,24.239487217736183
id_89,22.10219180011431
id_90,29.34198239822338
id_91,41.00660271876358
id_92,4.561946029582479
id_93,38.02254717353908
id_94,46.4012875435354
id_95,16.094350895699023
id_96,33.06981051953068
id_97,12.699043596426339
id_98,24.444556398436806
id_99,3.3281646497110504
id_100,18.925718111398616
id_101,28.530240873802036
id_102,14.763420013737255
id_103,15.899810033895715
id_104,22.79586786389421
id_105,39.52759039256005
id_106,30.396489508545944
id_107,7.51342329100833
id_108,7.769780404877007
id_109,78.91971023733271
id_110,46.985377997457135
id_111,15.36251389098271
id_112,27.054073223073516
id_113,15.356243382719809
id_114,14.07278783026822
id_115,25.043162549383105
id_116,25.479022876113362
id_117,9.78111208649082
id_118,18.0385924618137
id_119,18.838786458995415
id_120,82.3507364470258
id_121,25.578433522162904
id_122,35.45757254840728
id_123,24.3220151985421
id_124,7.73146880916229
id_125,40.85141447321147
id_126,9.961809171873648
id_127,19.933893210789183
id_128,28.842183945235835
id_129,63.81640149447481
id_130,21.773638262487175
id_131,22.864243171388303
id_132,58.01770666019358
id_133,14.736868025556772
id_134,13.877803309561614
id_135,1.9987359944027059
id_136,12.0148084552243
id_137,58.74590986865789
id_138,17.823366075918546
id_139,5.694062381292549
id_140,26.48208587153547
id_141,25.53469473728911
id_142,44.386559029830266
id_143,30.59569291114882
id_144,18.047789269579294
id_145,25.723664687090718
id_146,10.900008890756917
id_147,51.560244772179495
id_148,22.267236575312708
id_149,38.46153457295738
id_150,9.611401479159863
id_151,7.480426504602013
id_152,24.45175222366126
id_153,7.47568188219131
id_154,16.908831392120547
id_155,41.188201013857686
id_156,8.579240133684634
id_157,36.93445550358767
id_158,10.250071920329281
id_159,18.15252744559317
id_160,41.079170380265644
id_161,18.357646769501706
id_162,12.633061616849835
id_163,7.710956386064893
id_164,51.40173534437484
id_165,29.86995889810433
id_166,1.3509486339551922
id_167,15.528657153296118
id_168,62.73733194183294
id_169,13.834206734391504
id_170,64.81496596408094
id_171,39.55240345591362
id_172,26.148798187251597
id_173,19.770740430267377
id_174,60.838992537891706
id_175,24.122131760996222
id_176,21.247362420734515
id_177,37.11817486794874
id_178,11.711105475580945
id_179,30.277910130292113
id_180,16.928265143837258
id_181,12.539412872471964
id_182,54.77486425422817
id_183,46.731966627623805
id_184,16.734519793321326
id_185,35.65926972844313
id_186,26.87766077543235
id_187,70.75081072243648
id_188,9.646247747619983
id_189,56.66100785065822
id_190,38.25877538598146
id_191,16.10986314712386
id_192,28.624221041730024
id_193,0.8651842479826359
id_194,18.607999249141063
id_195,2.322930637768977
id_196,33.772070565677296
id_197,10.893873721865424
id_198,19.60711522934917
id_199,62.324660405729325
id_200,24.101385192156936
id_201,23.381748467526236
id_202,64.99467459373392
id_203,12.174222956444863
id_204,9.217561143358996
id_205,11.32074660225934
id_206,7.740116615750758
id_207,2.265550066501806
id_208,124.09602157368609
id_209,20.165699121002046
id_210,15.130982817883938
id_211,13.871896776864698
id_212,36.85602722825437
id_213,36.03074967309252
id_214,19.702205476896548
id_215,34.63779320090136
id_216,76.55685556710722
id_217,0.8189497254209642
id_218,12.451676577024047
id_219,32.43397541890706
id_220,15.671630457980509
id_221,12.36539894324599
id_222,113.18811943593423
id_223,11.435956314981023
id_224,16.167533248576163
id_225,62.043400305575155
id_226,16.35208394315205
id_227,18.958543176501884
id_228,9.770346958553052
id_229,11.042916862928402
id_230,43.71096907387349
id_231,13.95836975546035
id_232,52.8967883848555
id_233,41.76741994448936
id_234,24.099437369084672
id_235,41.84267152135537
id_236,69.07090470182696
id_237,43.12632414638763
id_238,11.306001705807232
id_239,16.729025301726846
